$N_1$	$N_2$	$N_3$	$l,\ cm$
156024	154902	154705	0
120333	121010	120579	2.00
87956	87682	87225	4.00
62838	62882	63081	6.02
43589	43684	43787	8.05
30633	30478	30531	10.07
20922	21139	20749	12.09
14509	14482	14561	14.09
10306	10064	10141	16.08
6994	7036	7158	18.08
