$I_m,\ A$	$\epsilon_1,\ \text{дел}$	$\epsilon_2,\ \text{дел}$	$\epsilon_3,\ \text{дел}$	$\epsilon_4,\ \text{дел}$	$\epsilon_5,\ \text{дел}$
0	11	15	18	21	22
0.15	14	19	22	25.5	26
0.3	18	22.5	26.5	30	32.5
0.45	21	26.5	30.5	35.5	38
0.6	24	30	35	40	44
0.75	27	33	39	44.5	48
0.9	29	36	41	47	51.5
1.05	30.5	37.5	43	49	53
1.2	32	39	44.5	50	55
