$n$	$t, s$
10	4.2
12	7.2
14	10.4
16	12.7
18	15.4
20	18.3
22	21.2
24	23.9
26	26.7
28	29.3
30	32
32	35
34	37.5
36	40.5
38	43.2
40	45.5
42	49.2
44	51.6
46	54.7
48	56.3
50	59.6
52	63
54	66.1
56	68.2
58	71
60	74
62	77.1
64	79.5
66	82.4
68	85.3
70	88.2
